observer,date,site,start_time,end_time,time_of_capture,body_temperature_c,microhabitat_type,microhabitat_temperature_c,species_capture,life_stage,sex,bd_swab_tube_id,dry_swab_tube_id,crispr_swab_tube_id,bacterial_swab_tube_id,mucusome_id,amp_id_1,amp_id_2,amp_id_3,amp_id_4,antibody_id_1,antibody_id_2,antibody_id_3,antibody_id_4,toe_clip_tube_id,capture_comments,survey_time,detection_type,temp_cap_id
NA,2022-05-18T00:00:00Z,admin pond,NA,NA,21:30:00,13.5,wet ground,13.5,Rana catesbeiana,juvenile,unknown,NA,NA,NA,NA,2022-05-18-admin-raca10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,capture,420
NA,2022-05-18T00:00:00Z,admin pond,NA,NA,10:21:00,13.4,water,13.3,Rana catesbeiana,juvenile,unknown,2022-05-18-admin-raca11,NA,NA,2022-05-18-admin-raca11,2022-05-18-admin-raca11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,capture,421
NA,2022-05-18T00:00:00Z,admin pond,NA,NA,09:27:00,12.7,water,12.7,Rana catesbeiana,juvenile,unknown,2022-05-18-admin-raca12,NA,NA,2022-05-18-admin-raca12,2022-05-18-admin-raca12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,capture,422
NA,2022-05-18T00:00:00Z,admin pond,NA,NA,09:45:00,13.4,water,13.4,Rana catesbeiana,juvenile,unknown,2022-05-18-admin-raca13,NA,NA,2022-05-18-admin-raca13,2022-05-18-admin-raca13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,capture,423
NA,2022-05-18T00:00:00Z,admin pond,NA,NA,09:12:00,12.8,water,12.8,Rana catesbeiana,juvenile,unknown,2022-05-18-admin-raca14,NA,NA,2022-05-18-admin-raca14,2022-05-18-admin-raca14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,capture,424
NA,2022-05-18T00:00:00Z,admin pond,NA,NA,20:57:00,13.3,water,14.1,Rana catesbeiana,juvenile,unknown,2022-05-18-admin-raca15,NA,NA,2022-05-18-admin-raca15,2022-05-18-admin-raca15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,capture,425
NA,2022-05-18T00:00:00Z,admin pond,NA,NA,09:44:00,12.8,water,12.8,Rana pipiens,adult,female,2022-05-18‐admin-rapi16,NA,NA,2022-05-18‐admin-rapi16,2022-05-18‐admin-rapi16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,capture,426
NA,2022-05-18T00:00:00Z,admin pond,NA,NA,10:19:00,13.9,water,13.9,Rana pipiens,adult,female,2022-05-18-admin-rapi17,NA,NA,2022-05-18-admin-rapi17,2022-05-18-admin-rapi17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,capture,427
NA,2022-05-18T00:00:00Z,admin pond,NA,NA,NA,NA,NA,NA,Rana pipiens,adult,female,2022-05-18-admin-rapi18,NA,NA,2022-05-18-admin-rapi18,2022-05-18-admin-rapi18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,capture,428
NA,2022-05-18T00:00:00Z,admin pond,NA,NA,NA,NA,emergent vegetation (lower than 1m),NA,Pseudacris crucifer,adult,male,2022-05-18-admin-pscr19,NA,NA,2022-05-18-admin-pscr19,2022-05-18-admin-pscr19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Too small to inject, volume could not be syringed",NA,capture,429
NA,2022-05-18T00:00:00Z,admin pond,NA,NA,22:08:00,12.8,emergent vegetation (lower than 1m),12.8,Pseudacris crucifer,adult,male,2022-05-18-admin-pscr20,NA,NA,2022-05-18-admin-pscr20,2022-05-18-admin-pscr20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,capture,430
NA,2022-05-18T00:00:00Z,admin pond,NA,NA,09:03:00,NA,water,14,Rana clamitans,adult,female,2022-05-18 admin racl #21,NA,NA,2022-05-18 admin racl #21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,capture,431
NA,2022-05-18T00:00:00Z,admin pond,NA,NA,09:21:00,NA,water,13.5,Rana clamitans,adult,female,2022-05-18 admin racl #22,NA,NA,2022-05-18 admin racl #22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,capture,432
NA,2022-05-18T00:00:00Z,admin pond,NA,NA,21:52:00,NA,water,13.5,Rana clamitans,adult,male,2022-05-18 admin racl #23,NA,NA,2022-05-18 admin racl #23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,capture,433
NA,2022-05-18T00:00:00Z,admin pond,NA,NA,21:27:00,NA,wet ground,13.2,Bufo americanus,adult,unknown,2022-05-18 admin Guam #24,NA,NA,2022-05-18 admin Guam #24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,capture,434
