observer,date,site,start_time,end_time,survey_time,detection_type,temp_surv_id
NA,2022-05-18T00:00:00Z,admin pond,NA,NA,NA,capture,5
brandon hoenig,2022-05-26T00:00:00Z,wood lab pond,20:52:00,20:55:00,night,acoustic,10
brandon hoenig,2022-05-27T00:00:00Z,wood lab pond,20:37:00,20:40:00,night,acoustic,13
brandon hoenig,2022-06-03T00:00:00Z,phelps pond,20:44:00,20:47:00,night,acoustic,16
brandon hoenig,2022-06-08T00:00:00Z,rv pond,21:00:00,21:03:00,night,acoustic,23
brandon hoenig,2022-06-14T00:00:00Z,tuttle pond,21:07:00,21:10:00,night,acoustic,26
brandon hoenig,2022-06-15T00:00:00Z,tuttle pond,21:29:00,21:32:00,night,acoustic,35
emily jolly,2022-06-23T00:00:00Z,tryon-weber,21:41:00,21:44:00,night,acoustic,47
brandon hoenig,2022-06-27T00:00:00Z,vorisek pond,22:07:00,22:10:00,night,acoustic,51
brandon hoenig,2022-07-11T00:00:00Z,rv pond,21:34:00,21:37:00,night,acoustic,59
brandon hoenig,2022-07-18T00:00:00Z,tuttle pond,21:26:00,21:29:00,night,acoustic,69
